formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
GeS,,,1.77,eV,77,K,,,
CdI$_{2}$,,,3.26,eV,300,K,,,
V$_{4}$O$_{7}$,,,0.8,eV,200,K,,,
As$_{2}$S$_{3}$,,,2.21,eV,300,K,,,
PbBr$_{2}$,,,3.5,eV,77,K,,,
GaSe,,,2.2,eV,,,,,
CdTe,,,1.58,eV,300,K,,,
Sb$_{2}$S$_{3}$,,,1.7,eV,300,K,,,
HgTe,,,0.175,eV,300,K,,,
K$_{2}$S,,,2.1,eV,300,K,,,
Te,,,0.335,eV,4.2,K,,,
ZrS$_{3}$,,,2.17,eV,300,K,Copper-Red,300,K
Se,,,1.71,eV,300,K,,,
UO$_{2}$,,,1.3,eV,100,K,,,
AlAs,,,2.215,eV,145,K,,,
KBr,,,6.75,eV,55,K,,,
GaAs,,,1.09,eV,973,K,,,
Se,,,1.72,eV,300,K,,,
KBr,,,7.215,eV,78,K,,,
Mg$_{2}$Ge,,,0.63,eV,90,K,,,
Fe$_{2}$Te$_{3}$,,,0.6,eV,300,K,,,
MoO$_{3}$,,,2.96,eV,300,K,,,
K$_{3}$Sb,,,1.1,eV,300,K,,,
Bi$_{2}$O$_{3}$,,,2.58,eV,300,K,,,
GaS,,,2.5,eV,300,K,,,
Ag$_{2}$Se,,,0.13,eV,80,K,,,
Zn$_{4}$Sb$_{3}$,,,1.2,eV,300,K,,,
GaSb,,,0.81,eV,4,K,,,
PdO,,,1.5,eV,300,K,,,
HgBr$_{2}$,,,3.59,eV,300,K,,,
Mg$_{2}$Ge,,,1.78,eV,77,K,,,
GaAs,,,1.253,eV,673,K,,,
LiF,,,11.7,eV,300,K,,,
PtSb$_{2}$,,,0.07,eV,,,,,
PtAs$_{2}$,,,0.55,eV,300,K,,,
Eu$_{2}$O$_{3}$,,,1.7,eV,300,K,,,
Te,,,0.35,eV,,,,,
CdTe,,,1.595,eV,6,K,,,
SnO$_{2}$,,,3.597,eV,1.8,K,,,
NiS,,,0.12,eV,264,K,,,
La$_{2}$Se$_{3}$,,,1.97,eV,293,K,,,
Cr$_{2}$S$_{3}$,,,0.9,eV,300,K,,,
ZnS,,,3.704,eV,300,K,,,
GeO$_{2}$,,,5.56,eV,300,K,,,
MnF$_{2}$,,,10.2,eV,300,K,,,
PbSe,,,0.27,eV,300,K,,,
Sb$_{2}$O$_{3}$,,,3.31,eV,300,K,,,
ThO$_{2}$,,,3.3,eV,300,K,Red,300,K
In$_{2}$Se,,,0.65,eV,300,K,,,
GaAs,,,1.511,eV,90,K,,,
ZnSb,,,0.99,eV,300,K,,,
HfS$_{3}$,,,2.85,eV,300,K,Ocher,300,K
HgSe,,,0.1,eV,300,K,,,
Bi,,,0.006,eV,77.4,K,,,
Lu$_{2}$O$_{3}$,,,3.94,eV,733,K,,,
Sb$_{0.71}$As$_{0.29}$,,,0.125,eV,273,K,,,
Na$_{3}$Sb,,,1.17,eV,250,K,,,
As$_{2}$S$_{3}$,,,2.2,eV,,,,,
V$_{2}$O$_{5}$,,,2.3,eV,300,K,,,
Bi$_{0.9}$Sb$_{0.1}$,,,0.015,eV,300,K,,,
HgI$_{2}$,,,2.795,eV,204,K,Yellow,204,K
Cs$_{2}$Te,,,3.5,eV,300,K,,,
CeO$_{2}$,,,2.68,eV,513,K,,,
PbS,,,0.285,eV,300,K,,,
CoTe$_{1.88}$,,,0.2,eV,300,K,,,
Cs$_{2}$S,,,,,,,,,
TiTe$_{2}$,,,1,eV,300,K,,,
ZnSb,,,0.514,eV,300,K,,,
RbCl,,,8.3,eV,55,K,,,
PbSe,,,0.176,eV,77,K,Gray,77,K
As$_{2}$S$_{5}$,,,2.21,eV,300,K,,,
Mg$_{3}$P$_{2}$,,,1.4,eV,300,K,,,
MoTe$_{2}$,,,1.02,eV,,,,,
CaSe,,,4.87,eV,77,K,Yellow,77,K
LaB$_{6}$,,,4.9,eV,300,K,,,
TlS,,,0.98,eV,300,K,,,
EuS,,,1.645,eV,300,K,,,
BeO,,,5.2,eV,300,K,,,
KBr,,,7.3,eV,20,K,,,
OsSb$_{2}$,,,0.2,eV,300,K,,,
In$_{2}$Te$_{3}$,,,0.85,eV,300,K,,,
Mg$_{2}$Si,,,0.66,eV,90,K,,,
MnO,,,2.6,eV,300,K,,,
AlAs,,,2.223,eV,77,K,,,
Mg$_{2}$Si,,,0.77,eV,,,,,
Cs$_{3}$Bi,,,0.55,eV,300,K,,,
GaSe,,,2.109,eV,77,K,,,
ReO$_{3}$,,,2.3,eV,300,K,Red,300,K
PbTe,,,0.31,eV,300,K,,,
GeS,,,1.59,eV,300,K,,,
InSb,,,0.235,eV,4.2,K,,,
Ta$_{2}$O$_{5}$,,,4.6,eV,300,K,,,
AlB,,,0.82,eV,300,K,Blue,300,K
Se,,,1.75,eV,300,K,,,
Sb$_{2}$O$_{3}$,,,4.2,eV,300,K,,,
PbTe,,,0.217,eV,77,K,,,
PbO,,,2.84,eV,300,K,Red,300,K
