formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
Tm$_{3}$AlN,0.0,eV,,,,,,,
Y(CuS)$_{2}$,0.0,eV,,,,,,,
YBPd$_{3}$,0.0,eV,,,,,,,
YBPt$_{3}$,0.0,eV,,,,,,,
YPt$_{3}$C,0.0,eV,,,,,,,
YbH$_{3}$Pd,0.0,eV,,,,,,,
YbNiH$_{3}$,0.0,eV,,,,,,,
AuN$_{2}$,0.0,eV,,,,,,,
BC$_{5}$,0.0,eV,,,,,,,
Ba$_{2}$ClF$_{3}$,5.7401,eV,,,,,,,
Ba$_{2}$H$_{3}$I,2.24,eV,,,,,,,
KCdSb,0.0,eV,,,,,,,
BaMgPb,0.0,eV,,,,,,,
BaMgSn,0.0,eV,,,,,,,
CN$_{2}$,2.3227,eV,,,,,,,
Ca$_{2}$H$_{3}$Br,1.5367999999999995,eV,,,,,,,
CaBiAu,0.0,eV,,,,,,,
CaCoSi,0.0,eV,,,,,,,
CeO$_{2}$,0.6968999999999994,eV,,,,,,,
CeCoSi,0.0,eV,,,,,,,
CePbAu,0.0,eV,,,,,,,
CeSbPd,0.0,eV,,,,,,,
CeS$_{2}$,0.0,eV,,,,,,,
CeO$_{2}$,1.9544000000000001,eV,,,,,,,
CeSe$_{2}$,0.0,eV,,,,,,,
CeSi$_{2}$Mo$_{2}$C,0.0,eV,,,,,,,
CeTeCl,0.0,eV,,,,,,,
CeTlCd,0.0,eV,,,,,,,
CeTlZn,0.0,eV,,,,,,,
CeZnGa,0.0,eV,,,,,,,
CoAs$_{2}$,0.0,eV,,,,,,,
CoPPd,0.0,eV,,,,,,,
DyAlZn,0.0,eV,,,,,,,
DyS$_{2}$,0.0,eV,,,,,,,
CeSbAu,0.0,eV,,,,,,,
DyScSb,0.0,eV,,,,,,,
CsHSO$_{3}$,5.8302000000000005,eV,,,,,,,
DyTe$_{2}$,0.0,eV,,,,,,,
DyTlZn,0.0,eV,,,,,,,
DyZnIn,0.0,eV,,,,,,,
DyZnGa,0.0,eV,,,,,,,
DySe$_{2}$,0.0,eV,,,,,,,
Er$_{2}$Mg$_{3}$Ru,0.0,eV,,,,,,,
ErCuSn,0.0,eV,,,,,,,
ErH$_{2}$,0.0,eV,,,,,,,
ErS$_{2}$,0.0,eV,,,,,,,
ErTlZn,0.0,eV,,,,,,,
ErZnIn,0.0,eV,,,,,,,
ErZnGa,0.0,eV,,,,,,,
Eu$_{2}$H$_{3}$Br,0.0248999999999997,eV,,,,,,,
ErTe$_{2}$,0.0,eV,,,,,,,
Eu$_{2}$H$_{3}$Cl,0.07889999999999997,eV,,,,,,,
ErZnGa,0.0,eV,,,,,,,
EuBiAu,0.0,eV,,,,,,,
EuCdPb,0.0,eV,,,,,,,
EuCdSn,0.0,eV,,,,,,,
EuHgPb,0.0,eV,,,,,,,
EuZnGe,0.0,eV,,,,,,,
TeIr,0.0,eV,,,,,,,
EuO$_{2}$,0.0,eV,,,,,,,
EuSnHg,0.0,eV,,,,,,,
EuZnGe,0.0,eV,,,,,,,
EuZnGe,0.0,eV,,,,,,,
GdAlZn,0.0,eV,,,,,,,
GdCuPb,0,eV,,,,,,,
GdS$_{2}$,0.0,eV,,,,,,,
GdSe$_{2}$,0.0,eV,,,,,,,
GdTlZn,0.0,eV,,,,,,,
Hf$_{2}$GaSb$_{3}$,0.0,eV,,,,,,,
Hf$_{2}$TaN$_{3}$,0.0,eV,,,,,,,
GdZnIn,0,eV,,,,,,,
HfGa$_{4}$Co,0.0,eV,,,,,,,
HfCuSn,0.0,eV,,,,,,,
HfGaCu,0.0,eV,,,,,,,
Hf$_{5}$Pb,0.0,eV,,,,,,,
HfN$_{2}$,0.5732999999999997,eV,,,,,,,
HfSb$_{2}$,0.0,eV,,,,,,,
HfTa$_{2}$N$_{3}$,0.0,eV,,,,,,,
HfTaNO$_{3}$,1.8978000000000002,eV,,,,,,,
HfVSi,0.0,eV,,,,,,,
HfO$_{2}$,4.668200000000001,eV,,,,,,,
HgSe,1.0322,eV,,,,,,,
HoCo$_{3}$Cu$_{2}$,0.0,eV,,,,,,,
HoCuSn,0.0,eV,,,,,,,
HoFeSi,0.0,eV,,,,,,,
HfVGe,0.0,eV,,,,,,,
HoS$_{2}$,0.0,eV,,,,,,,
HoSe$_{2}$,0.0,eV,,,,,,,
HoZnIn,0.0,eV,,,,,,,
In$_{2}$Cu,0.0,eV,,,,,,,
HoSI,2.7207999999999997,eV,,,,,,,
HoTe$_{2}$,0.0,eV,,,,,,,
IrN$_{2}$,0.0,eV,,,,,,,
IrN,0.0,eV,,,,,,,
BaTi$_{2}$As$_{2}$O,0.0,eV,,,,,,,
KCdAs,0.17270000000000008,eV,,,,,,,
KMgP,1.6589,eV,,,,,,,
LaAl$_{2}$BRu$_{2}$,0.0,eV,,,,,,,
KMnBi,0.0,eV,,,,,,,
LaCoSi,0.0,eV,,,,,,,
LaCuPb,0.0,eV,,,,,,,
LaNi$_{2}$Rh$_{3}$,0.0,eV,,,,,,,
LaNi$_{3}$Rh$_{2}$,0.0,eV,,,,,,,
LaPbAu,0.0,eV,,,,,,,
LaSbPd,0.0,eV,,,,,,,
LaGe$_{2}$Ir$_{3}$,0.0,eV,,,,,,,
LaSbTe,0.0,eV,,,,,,,
LaS$_{2}$,0.0,eV,,,,,,,
LaTeCl,0.6562999999999999,eV,,,,,,,
LaTlCd,0.0,eV,,,,,,,
LaTlZn,0.0,eV,,,,,,,
LaZnGa,0.0,eV,,,,,,,
LaZnIn,0.0,eV,,,,,,,
Li$_{3}$CeSb$_{2}$,0.0,eV,,,,,,,
Li$_{3}$CeBi$_{2}$,0.0,eV,,,,,,,
Li$_{3}$DySb$_{2}$,0.0,eV,,,,,,,
Li$_{3}$HoSb$_{2}$,0.0,eV,,,,,,,
Li$_{3}$LaAs$_{2}$,0.5023,eV,,,,,,,
Li$_{3}$LaBi$_{2}$,0.1578999999999997,eV,,,,,,,
Li$_{3}$NdSb$_{2}$,0.0,eV,,,,,,,
Li$_{3}$PrBi$_{2}$,0.0,eV,,,,,,,
Li$_{3}$PrSb$_{2}$,0.0,eV,,,,,,,
Li$_{3}$SmBi$_{2}$,0.0,eV,,,,,,,
Li$_{3}$SmSb$_{2}$,0.0,eV,,,,,,,
Li$_{3}$YBi$_{2}$,0.0,eV,,,,,,,
LiBeB,0.0,eV,,,,,,,
LiCe(CuP)$_{2}$,0.0,eV,,,,,,,
LiFeAs,0.0,eV,,,,,,,
LiMnSb,0.0,eV,,,,,,,
LiO$_{2}$,0.0,eV,,,,,,,
LiY(CuP)$_{2}$,0.0,eV,,,,,,,
LuS$_{2}$,0.0,eV,,,,,,,
LuSe$_{2}$,0.0,eV,,,,,,,
Mg$_{2}$Ge,0.0,eV,,,,,,,
Mg$_{2}$Sn,0.0,eV,,,,,,,
Mg$_{2}$Si,0.0,eV,,,,,,,
MgAgSb,0.0,eV,,,,,,,
MgCuGe,0.0,eV,,,,,,,
MgSc$_{3}$Ru$_{2}$,0.0,eV,,,,,,,
Fe$_{3}$S$_{4}$,0.0,eV,,,,,,,
MnCuAs,0.0,eV,,,,,,,
MnGaGe,0.0,eV,,,,,,,
MnCoSb,0.0,eV,,,,,,,
MnS$_{2}$,0.0,eV,,,,,,,
MoSeS,0.6398000000000001,eV,,,,,,,
MoSe$_{2}$,1.2530999999999994,eV,,,,,,,
MgCoGe,0.0,eV,,,,,,,
MoS$_{2}$,1.3377,eV,,,,,,,
Na$_{2}$Cl,0.0,eV,,,,,,,
NbGeSb,0.0,eV,,,,,,,
NbGeAs,0.0,eV,,,,,,,
NdCoP,0.0,eV,,,,,,,
NdSbTe,0.0,eV,,,,,,,
NdSbPd,0.0,eV,,,,,,,
NdSe$_{2}$,0.0,eV,,,,,,,
NdTeCl,0.41999999999999993,eV,,,,,,,
NdTlCd,0.0,eV,,,,,,,
NdTlZn,0.0,eV,,,,,,,
NdZnIn,0.0,eV,,,,,,,
NiPRh,0.0,eV,,,,,,,
NpSbTe,0.0,eV,,,,,,,
NdPbAu,0.0,eV,,,,,,,
NdGeAu,0.0,eV,,,,,,,
NpSeO,0.0,eV,,,,,,,
NpTe$_{2}$,0.0,eV,,,,,,,
OsN,0.0,eV,,,,,,,
OsC$_{2}$,0.04699999999999882,eV,,,,,,,
OsN$_{2}$,0.0,eV,,,,,,,
OsN$_{2}$,0.0,eV,,,,,,,
PaSb$_{2}$,0.0,eV,,,,,,,
PdO$_{2}$,0.0,eV,,,,,,,
PdCl$_{2}$,0.9724,eV,,,,,,,
PaP$_{2}$,0.0,eV,,,,,,,
PdCl$_{2}$,0.7861999999999999,eV,,,,,,,
PrCoSi,0.0,eV,,,,,,,
PrCuSn,0.0,eV,,,,,,,
PrFeSi,0.0,eV,,,,,,,
PrPbAu,0.0,eV,,,,,,,
PrCoP,0.0,eV,,,,,,,
PrSbPd,0.0,eV,,,,,,,
LiTiTe$_{2}$,0.0,eV,,,,,,,
PrCuPb,0.0,eV,,,,,,,
PrSbPt,0.0,eV,,,,,,,
PrSbTe,0.0,eV,,,,,,,
PrSe$_{2}$,0.0,eV,,,,,,,
PrTeCl,0.4276,eV,,,,,,,
PrTlCd,0.0,eV,,,,,,,
PrZnGa,0.0,eV,,,,,,,
PtN$_{2}$,0.0,eV,,,,,,,
Re$_{2}$N,0.0,eV,,,,,,,
RbMnBi,0.0,eV,,,,,,,
PrZnIn,0.0,eV,,,,,,,
PuSbTe,0.007400000000000517,eV,,,,,,,
PuSe$_{2}$,0.0,eV,,,,,,,
YNi$_{2}$,0.0,eV,,,,,,,
Lu,0.044500000000000206,eV,,,,,,,
ReC$_{2}$,0.0,eV,,,,,,,
ReN,0.0,eV,,,,,,,
ReC$_{2}$,0.0,eV,,,,,,,
ReN$_{2}$,0.0,eV,,,,,,,
ReN$_{2}$,0.0,eV,,,,,,,
ReN$_{2}$,0.0,eV,,,,,,,
ReN$_{2}$,0.0,eV,,,,,,,
RuN$_{2}$,0.0,eV,,,,,,,
ReN$_{2}$,0.0,eV,,,,,,,
CN$_{2}$,4.6339999999999995,eV,,,,,,,
CaSnHg,0.0,eV,,,,,,,
KMgAs,1.1621,eV,,,,,,,
LaSe$_{2}$,0.0,eV,,,,,,,
PaP$_{2}$,0.0,eV,,,,,,,
PrGeAu,0.0,eV,,,,,,,
SiC$_{2}$,0.0,eV,,,,,,,
SmCoP,0.0,eV,,,,,,,
Lu$_{2}$MgSe$_{4}$,1.4769999999999999,eV,,,,,,,
SmFeSi,0.0,eV,,,,,,,
SmGeAu,0.0,eV,,,,,,,
SmMnSi,0.0,eV,,,,,,,
SmSbPd,0.0,eV,,,,,,,
CaSnHg,0.0,eV,,,,,,,
KMgBi,0.38549999999999995,eV,,,,,,,
PuTe$_{2}$,0.006800000000000139,eV,,,,,,,
SmCoSi,0.0,eV,,,,,,,
SmGeRu,0.0,eV,,,,,,,
SmPbAu,0.0,eV,,,,,,,
SmSbTe,0.0,eV,,,,,,,
LuP,0,eV,,,,,,,
Pd$_{2}$N,0.0,eV,,,,,,,
PdN$_{2}$,0.0,eV,,,,,,,
SmSe$_{2}$,0.0,eV,,,,,,,
SmTlCd,0.0,eV,,,,,,,
SmTlZn,0.0,eV,,,,,,,
SmZnGa,0.0,eV,,,,,,,
SrF$_{2}$,5.9356,eV,,,,,,,
SrSnHg,0.0,eV,,,,,,,
Ta$_{2}$N$_{3}$O,0.0,eV,,,,,,,
SmTe$_{2}$,0.0,eV,,,,,,,
Sr$_{2}$H$_{3}$I,2.0576000000000003,eV,,,,,,,
Ta$_{2}$TiN$_{3}$,0.0,eV,,,,,,,
TaN$_{2}$,0.0,eV,,,,,,,
TaN$_{2}$,0.0,eV,,,,,,,
TaTi$_{2}$N$_{3}$,0.0,eV,,,,,,,
TbCuSn,0.0,eV,,,,,,,
TaSe$_{2}$,0.0,eV,,,,,,,
SrHgPb,0.0,eV,,,,,,,
TbGeAu,0.0,eV,,,,,,,
SrZnSn,0.0,eV,,,,,,,
SrZnPb,0.0,eV,,,,,,,
Ta$_{2}$N$_{3}$F,0.0,eV,,,,,,,
LuPPt,0,eV,,,,,,,
TbSbPd,0.0,eV,,,,,,,
Tc$_{2}$N,0.0,eV,,,,,,,
TcB$_{2}$,0.0,eV,,,,,,,
TcN,0.0,eV,,,,,,,
Te$_{2}$W,0.9395999999999995,eV,,,,,,,
Th$_{2}$HN$_{3}$,1.4164000000000003,eV,,,,,,,
TbTe$_{2}$,0.0,eV,,,,,,,
ThAsSe,0.0,eV,,,,,,,
ThAsS,0.0,eV,,,,,,,
ThSbSe,0.0,eV,,,,,,,
ThPSe,0.0,eV,,,,,,,
ThSbTe,0.0,eV,,,,,,,
ThBiTe,0.0,eV,,,,,,,
ThTeAs,0.0,eV,,,,,,,
Al(PO$_{3}$)$_{3}$,5.8176,eV,,,,,,,
Al$_{3}$GaN$_{4}$,3.3481000000000005,eV,,,,,,,
AlB$_{3}$N$_{4}$,3.5966000000000005,eV,,,,,,,
Al$_{3}$BN$_{4}$,3.359,eV,,,,,,,
Al$_{7}$Si$_{3}$BO$_{18}$,4.6157,eV,,,,,,,
LuSbPt,0.0,eV,,,,,,,
LuS$_{2}$,0.0,eV,,,,,,,
AlGa$_{3}$N$_{4}$,2.1797999999999997,eV,,,,,,,
B$_{2}$S$_{2}$O$_{9}$,6.6762,eV,,,,,,,
AlPO$_{4}$,5.478400000000001,eV,,,,,,,
AlPO$_{4}$,5.556900000000001,eV,,,,,,,
AlPO$_{4}$,5.2949,eV,,,,,,,
AlPO$_{4}$,5.6296,eV,,,,,,,
AlPO$_{4}$,5.4686,eV,,,,,,,
Ba$_{3}$Ga$_{3}$N$_{5}$,1.4175999999999997,eV,,,,,,,
Ba$_{4}$GaN$_{3}$O,1.1839,eV,,,,,,,
Ba$_{4}$Mg(SiN$_{3}$)$_{2}$,1.5934999999999997,eV,,,,,,,
Ba$_{2}$CaSi$_{4}$(BO$_{7}$)$_{2}$,4.8764,eV,,,,,,,
Ba$_{2}$NaO,0.0,eV,,,,,,,
Ba$_{3}$Ca$_{2}$(SiN$_{3}$)$_{2}$,1.5518,eV,,,,,,,
Ba$_{3}$MgGeN$_{4}$,1.2902,eV,,,,,,,
Ba$_{2}$B$_{10}$O$_{17}$,5.6719,eV,,,,,,,
Ba$_{3}$NaY$_{3}$(Si$_{3}$O$_{10}$)$_{2}$,5.0048,eV,,,,,,,
Ba$_{3}$P$_{6}$(N$_{4}$O$_{3}$)$_{2}$,4.546600000000001,eV,,,,,,,
Ba$_{3}$ZnB$_{5}$PO$_{14}$,4.8405000000000005,eV,,,,,,,
Ba$_{3}$Si$_{2}$(B$_{3}$O$_{8}$)$_{2}$,5.3993,eV,,,,,,,
Ba$_{3}$Y$_{2}$(B$_{2}$O$_{5}$)$_{3}$,4.5196000000000005,eV,,,,,,,
Ba$_{2}$Mg(BO$_{2}$)$_{6}$,5.2119,eV,,,,,,,
Ba$_{8}$Al$_{10}$B$_{12}$O$_{41}$,4.4373,eV,,,,,,,
Ba$_{2}$P$_{2}$O$_{7}$,5.1483,eV,,,,,,,
BaAl$_{2}$Si$_{3}$(NO)$_{4}$,3.5604,eV,,,,,,,
BaAl$_{4}$O$_{7}$,4.1958,eV,,,,,,,
Ba$_{9}$Y$_{2}$(SiO$_{4}$)$_{6}$,4.5047,eV,,,,,,,
BaAl$_{4}$O$_{7}$,3.6891,eV,,,,,,,
BaAl$_{2}$(SiO$_{4}$)$_{2}$,4.9061,eV,,,,,,,
BaAl$_{2}$(SiO$_{4}$)$_{2}$,4.911199999999999,eV,,,,,,,
BaAlSi$_{4}$N$_{5}$O$_{3}$,3.2180999999999997,eV,,,,,,,
BaB$_{2}$S$_{3}$O$_{13}$,6.181,eV,,,,,,,
BaCa$_{3}$O$_{4}$,2.3279,eV,,,,,,,
BaCaB$_{2}$O$_{5}$,4.4673,eV,,,,,,,
BaCaP$_{2}$O$_{7}$,5.3187,eV,,,,,,,
BaZrO$_{3}$,3.1193000000000004,eV,,,,,,,
Be(PN$_{2}$)$_{2}$,4.0393,eV,,,,,,,
BaY$_{4}$Si$_{5}$O$_{17}$,4.8104,eV,,,,,,,
BaLi$_{2}$Mg(PO$_{4}$)$_{2}$,5.638199999999999,eV,,,,,,,
BaGe(S$_{2}$O$_{7}$)$_{3}$,3.9450000000000003,eV,,,,,,,
BaMg$_{2}$Si$_{2}$O$_{7}$,4.5563,eV,,,,,,,
BeGeN$_{2}$,3.3941,eV,,,,,,,
BaNa$_{2}$Mg(PO$_{4}$)$_{2}$,4.869199999999999,eV,,,,,,,
Ca$_{16}$(SiN$_{2}$)$_{17}$,0.0,eV,,,,,,,
BaNaB$_{5}$O$_{9}$,5.0076,eV,,,,,,,
BaNaLi$_{3}$(BO$_{2}$)$_{6}$,5.2185,eV,,,,,,,
BaS$_{4}$O$_{13}$,4.6756,eV,,,,,,,
BaSr$_{2}$Mg(SiO$_{4}$)$_{2}$,4.759,eV,,,,,,,
Ca$_{2}$B$_{2}$O$_{5}$,4.692,eV,,,,,,,
Ca$_{2}$B$_{2}$O$_{5}$,4.7085,eV,,,,,,,
Ca$_{2}$GeO$_{4}$,3.5549999999999997,eV,,,,,,,
Ca$_{2}$SiO$_{4}$,4.1723,eV,,,,,,,
Ca$_{2}$SiO$_{4}$,3.3021,eV,,,,,,,
Ca$_{6}$Ge$_{2}$O,0.2902,eV,,,,,,,
Ca$_{3}$Ga$_{2}$(GeO$_{4}$)$_{3}$,2.9786,eV,,,,,,,
Ca$_{3}$ZnGe$_{5}$O$_{14}$,2.4862,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.4797,eV,,,,,,,
Ca$_{10}$Ge$_{16}$(B$_{2}$O$_{17}$)$_{3}$,3.0989000000000004,eV,,,,,,,
Ca$_{8}$Si$_{5}$O$_{18}$,4.545,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.549800000000001,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.6134,eV,,,,,,,
Ca$_{4}$Al$_{6}$SO$_{16}$,4.4190000000000005,eV,,,,,,,
Ca$_{4}$SiN$_{4}$,1.4498000000000002,eV,,,,,,,
Ca$_{4}$P$_{2}$O$_{9}$,4.4892,eV,,,,,,,
Ca$_{5}$(SiN$_{3}$)$_{2}$,2.4590999999999994,eV,,,,,,,
CaMg$_{3}$SiN$_{4}$,2.4021,eV,,,,,,,
CaMg(SiO$_{3}$)$_{2}$,4.5994,eV,,,,,,,
CaS$_{3}$O$_{10}$,4.9224000000000006,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.291799999999999,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.605699999999999,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.5200000000000005,eV,,,,,,,
CaAl$_{2}$SiO$_{6}$,4.602400000000001,eV,,,,,,,
Ce$_{3}$Zr$_{5}$O$_{16}$,1.7776,eV,,,,,,,
Ce$_{3}$ZrO$_{8}$,1.8144999999999998,eV,,,,,,,
Ce$_{2}$B$_{8}$O$_{15}$,0.15829999999999966,eV,,,,,,,
Ce(PO$_{3}$)$_{4}$,1.2294,eV,,,,,,,
Ce$_{5}$Zr$_{3}$O$_{16}$,1.8294999999999995,eV,,,,,,,
CeZrO$_{4}$,1.8185000000000002,eV,,,,,,,
Ce$_{4}$B$_{14}$O$_{27}$,0.051000000000000156,eV,,,,,,,
CeGaO$_{3}$,0.0,eV,,,,,,,
CePO$_{4}$,0.0,eV,,,,,,,
Ta$_{2}$N,0.0,eV,,,,,,,
CeZr$_{3}$O$_{8}$,1.9003999999999999,eV,,,,,,,
CeZr$_{7}$O$_{16}$,2.1228000000000002,eV,,,,,,,
Cs$_{2}$Al$_{2}$B$_{2}$O$_{7}$,4.2435,eV,,,,,,,
Cs$_{2}$BaP$_{2}$O$_{7}$,4.6544,eV,,,,,,,
Cs$_{2}$B$_{2}$S$_{3}$O$_{13}$,5.8455,eV,,,,,,,
Cs$_{2}$Ba$_{3}$(P$_{2}$O$_{7}$)$_{2}$,4.7249,eV,,,,,,,
Cs$_{2}$Li$_{2}$B$_{2}$P$_{4}$O$_{15}$,5.4224000000000006,eV,,,,,,,
Cs$_{2}$Li$_{5}$(BO$_{2}$)$_{7}$,4.5081,eV,,,,,,,
Cs$_{3}$BO$_{3}$,2.4689000000000005,eV,,,,,,,
Cs$_{2}$Sr$_{2}$Li$_{3}$B$_{3}$(PO$_{4}$)$_{6}$,5.6029,eV,,,,,,,
Cs$_{2}$MgSi$_{5}$O$_{12}$,4.5828,eV,,,,,,,
Cs$_{2}$Na$_{2}$Sr(B$_{3}$O$_{5}$)$_{6}$,5.6254,eV,,,,,,,
Cs$_{4}$ZnO$_{3}$,1.6802,eV,,,,,,,
Cs$_{3}$Y(PO$_{4}$)$_{2}$,4.4731000000000005,eV,,,,,,,
Cs$_{3}$Li$_{4}$(BO$_{2}$)$_{7}$,4.5217,eV,,,,,,,
ZrO,0.0,eV,,,,,,,
CsBaLiP$_{2}$O$_{7}$,4.8877999999999995,eV,,,,,,,
CsB$_{5}$O$_{8}$,5.9528,eV,,,,,,,
Cs$_{4}$Si$_{3}$O$_{8}$,3.6580000000000004,eV,,,,,,,
CsCa$_{10}$(PO$_{4}$)$_{7}$,5.2034,eV,,,,,,,
CsLi(B$_{3}$O$_{5}$)$_{2}$,5.0852,eV,,,,,,,
CsLi$_{4}$(BO$_{2}$)$_{5}$,4.4885,eV,,,,,,,
CsBS$_{3}$O$_{11}$,5.643800000000001,eV,,,,,,,
CsBe$_{4}$(BO$_{3}$)$_{3}$,5.4195,eV,,,,,,,
CsSi$_{2}$BO$_{6}$,5.258900000000001,eV,,,,,,,
CsZr$_{2}$Al(PO$_{4}$)$_{4}$,4.394399999999999,eV,,,,,,,
CsMgBO$_{3}$,3.1495999999999995,eV,,,,,,,
CsZn$_{4}$(BO$_{3}$)$_{3}$,2.8217,eV,,,,,,,
EuLiO$_{2}$,0.0,eV,,,,,,,
CsY(PO$_{3}$)$_{4}$,5.5193,eV,,,,,,,
EuMg$_{3}$SiN$_{4}$,0.15890000000000004,eV,,,,,,,
EuNaGeO$_{4}$,0.0,eV,,,,,,,
EuRb(PO$_{3}$)$_{4}$,0.0,eV,,,,,,,
Eu$_{3}$AlO$_{5}$,0,eV,,,,,,,
EuZn(BO$_{2}$)$_{5}$,0.0,eV,,,,,,,
EuAl$_{3}$(BO$_{3}$)$_{4}$,0.0,eV,,,,,,,
EuAl$_{2}$O$_{4}$,0.0,eV,,,,,,,
Eu(NO$_{3}$)$_{3}$,0.0,eV,,,,,,,
EuBN$_{2}$,0.0,eV,,,,,,,
EuBaNa(SiO$_{3}$)$_{3}$,0.0024999999999999467,eV,,,,,,,
EuCs(PO$_{3}$)$_{4}$,0.006700000000000039,eV,,,,,,,
EuK(PO$_{3}$)$_{4}$,0.0,eV,,,,,,,
Eu$_{2}$BaO$_{4}$,0.0,eV,,,,,,,
Eu$_{2}$Ge(BO$_{4}$)$_{2}$,0.0,eV,,,,,,,
GaB$_{3}$N$_{4}$,3.7109000000000005,eV,,,,,,,
HeSiO$_{2}$,6.4897,eV,,,,,,,
HeSiO$_{2}$,6.5469,eV,,,,,,,
Ga$_{3}$BN$_{4}$,2.3927999999999994,eV,,,,,,,
K$_{2}$Al$_{2}$Si$_{3}$O$_{10}$,4.3747,eV,,,,,,,
K$_{2}$Ca$_{3}$Si$_{3}$O$_{10}$,4.7468,eV,,,,,,,
K$_{2}$Ca$_{4}$Si$_{8}$O$_{21}$,4.5791,eV,,,,,,,
K$_{2}$Ca$_{3}$Si$_{3}$O$_{10}$,4.1202000000000005,eV,,,,,,,
K$_{2}$CeAl(SiO$_{3}$)$_{4}$,0.27090000000000014,eV,,,,,,,
K$_{2}$Ge(S$_{2}$O$_{7}$)$_{3}$,3.7751,eV,,,,,,,
K$_{2}$La$_{2}$B$_{2}$O$_{7}$,4.2027,eV,,,,,,,
K$_{2}$Li$_{3}$B(P$_{2}$O$_{7}$)$_{2}$,5.5903,eV,,,,,,,
K$_{2}$Mg$_{2}$Si$_{2}$O$_{7}$,4.9573,eV,,,,,,,
K$_{2}$Na$_{3}$P$_{3}$O$_{10}$,4.3865,eV,,,,,,,
K$_{2}$LiB(PO$_{4}$)$_{2}$,5.3944,eV,,,,,,,
K$_{2}$S$_{2}$O$_{3}$,3.7496,eV,,,,,,,
K$_{2}$SN$_{2}$O$_{5}$,3.2162,eV,,,,,,,
K$_{2}$Si(S$_{2}$O$_{7}$)$_{3}$,5.2762,eV,,,,,,,
K$_{3}$Zn(BO$_{2}$)$_{5}$,4.2633,eV,,,,,,,
K$_{2}$NaZn(BO$_{2}$)$_{5}$,4.2332,eV,,,,,,,
K$_{4}$Al$_{3}$(SiO$_{4}$)$_{3}$,0.0,eV,,,,,,,
K$_{3}$B(SO$_{4}$)$_{3}$,5.2623,eV,,,,,,,
K$_{2}$Zn(PO$_{3}$)$_{4}$,4.8504,eV,,,,,,,
K$_{2}$ZrSi$_{2}$O$_{7}$,4.472799999999999,eV,,,,,,,
K$_{3}$La(PO$_{4}$)$_{2}$,4.484,eV,,,,,,,
K$_{3}$LiP$_{2}$O$_{7}$,4.876,eV,,,,,,,
K$_{4}$P$_{2}$O$_{7}$,3.7409,eV,,,,,,,
K$_{5}$B(SO$_{4}$)$_{4}$,5.2949,eV,,,,,,,
K$_{8}$NO$_{3}$,0.0,eV,,,,,,,
Mn$_{3}$PdN,0.0,eV,,,,,,,
K$_{8}$N$_{3}$O,0.0,eV,,,,,,,
K$_{8}$PO$_{3}$,0.0,eV,,,,,,,
KAl(PO$_{3}$)$_{4}$,5.1796999999999995,eV,,,,,,,
KAl$_{9}$O$_{14}$,4.1426,eV,,,,,,,
KB(SO$_{4}$)$_{2}$,6.2377,eV,,,,,,,
KB(S$_{2}$O$_{7}$)$_{2}$,5.5005,eV,,,,,,,
KMg$_{6}$P$_{7}$O$_{24}$,5.1735,eV,,,,,,,
KBe$_{2}$B$_{3}$O$_{7}$,4.8329,eV,,,,,,,
KBe$_{2}$B$_{3}$O$_{7}$,4.949,eV,,,,,,,
KNa$_{2}$BN$_{2}$,1.8152000000000001,eV,,,,,,,
KSi$_{2}$BO$_{6}$,5.3233999999999995,eV,,,,,,,
KPSO$_{2}$,4.1722,eV,,,,,,,
La$_{2}$B$_{8}$O$_{15}$,4.385699999999999,eV,,,,,,,
La$_{3}$Si$_{6}$N$_{11}$,2.9659000000000004,eV,,,,,,,
La$_{4}$B$_{10}$O$_{21}$,4.138800000000001,eV,,,,,,,
La$_{3}$BN$_{2}$O$_{3}$,1.2114000000000011,eV,,,,,,,
La$_{5}$S$_{4}$NO$_{2}$,1.4327000000000005,eV,,,,,,,
LaNO$_{4}$,1.3265000000000002,eV,,,,,,,
LaPO$_{4}$,4.6606000000000005,eV,,,,,,,
Mn(NbS$_{2}$)$_{3}$,0.0,eV,,,,,,,
LaSi$_{3}$N$_{5}$,3.1934999999999993,eV,,,,,,,
LaZn(BO$_{2}$)$_{5}$,4.7136,eV,,,,,,,
Co,0.0,eV,,,,,,,
TaRh$_{3}$,0.0,eV,,,,,,,
ZrBeSi,0.0,eV,,,,,,,
Li$_{2}$Ca$_{2}$Si$_{2}$O$_{7}$,4.7378,eV,,,,,,,
Li$_{2}$Ca$_{3}$N$_{6}$,0.0,eV,,,,,,,
Li$_{14}$P$_{2}$(N$_{2}$O)$_{3}$,3.5921,eV,,,,,,,
Li$_{2}$Ge$_{4}$O$_{9}$,2.7380999999999998,eV,,,,,,,
Li$_{2}$S$_{2}$O$_{7}$,5.5360000000000005,eV,,,,,,,
