formula,Property band_gap,Property band_gap units,Property SMILES
Ba$_{3}$Nb$_{5}$O$_{15}$,0.0,eV/atom,
Na$_{2}$CO$_{3}$,3.1421,eV/atom,
CuPt$_{7}$,0.0,eV/atom,
C$_{2}$S(OF)$_{4}$,6.1791,eV/atom,O=C(F)OS(=O)(=O)C(F)(F)F
Rb$_{3}$Pr$_{2}$(NO$_{3}$)$_{9}$,3.4083,eV/atom,
InBiO$_{3}$,0.049599999999999866,eV/atom,
Al$_{2}$O$_{3}$,0.6822999999999997,eV/atom,
GdCrO$_{3}$,2.4135999999999997,eV/atom,
Al$_{2}$Si$_{3}$(HO$_{4}$)$_{3}$,0.0,eV/atom,
GaN$_{5}$O$_{14}$,1.1872,eV/atom,
NaAg$_{2}$,0.0,eV/atom,
AsPd$_{2}$,0.0,eV/atom,
Tl$_{4}$Fe(CN)$_{6}$,2.7414,eV/atom,
DyHg$_{2}$,0.0,eV/atom,
LaTiNbBi$_{2}$O$_{9}$,1.7236000000000002,eV/atom,
Al$_{2}$PbS$_{4}$,2.5887000000000002,eV/atom,
NaTeH$_{12}$(CO)$_{3}$,2.0122,eV/atom,
CeAlO$_{3}$,0.0,eV/atom,
YbCdNi$_{4}$,0.0,eV/atom,
BaTiO$_{3}$,2.5441000000000003,eV/atom,
NdGa$_{2}$Ni,0.0,eV/atom,
U$_{2}$Cu$_{2}$As$_{3}$O,0.0,eV/atom,
Sn(PbO$_{2}$)$_{2}$,2.0634000000000006,eV/atom,
SrDy$_{2}$CuO$_{5}$,0.0,eV/atom,
Sr$_{3}$CuIrO$_{6}$,0.0,eV/atom,
YMnSi,0.0,eV/atom,
Rb$_{5}$SiAs$_{3}$,0.3756999999999999,eV/atom,
TiSnPt,0.7908,eV/atom,
BaNpO$_{3}$,0.0,eV/atom,
Gd$_{3}$Se$_{2}$NO,1.6596000000000002,eV/atom,
CuH$_{8}$C$_{4}$(NO$_{3}$)$_{2}$,0.0,eV/atom,
U$_{3}$Si,0.0,eV/atom,
CsCo(CO)$_{4}$,3.8385,eV/atom,
CsCu(BiS$_{2}$)$_{2}$,0.8320000000000003,eV/atom,
Ir,0.0,eV/atom,
TmFe$_{2}$,0.0,eV/atom,
K$_{2}$S$_{2}$O$_{7}$,5.2193,eV/atom,
NaClO$_{4}$,5.4553,eV/atom,
K$_{2}$TeS$_{3}$,2.3316,eV/atom,
CsPt$_{2}$Se$_{3}$,1.0491000000000001,eV/atom,
UMo$_{13}$P$_{9}$,0.0,eV/atom,
BiIO,1.4833000000000003,eV/atom,
AgBi$_{3}$S$_{5}$,0.5219999999999994,eV/atom,
Rb$_{5}$(CoO$_{2}$)$_{2}$,1.0184,eV/atom,
K$_{3}$Cr$_{11}$S$_{18}$,0.3485000000000005,eV/atom,
PrAs,0.0,eV/atom,
Sr,0.0,eV/atom,
RbAlBP$_{2}$HO$_{9}$,5.2635,eV/atom,
Yb(CoSi)$_{2}$,0.0,eV/atom,
NdRh$_{3}$,0.0,eV/atom,
ZnBr$_{2}$,3.2203,eV/atom,
NaSiBO$_{4}$,5.4139,eV/atom,
Pb$_{2}$Au,0.0,eV/atom,
Mg$_{16}$Si$_{8}$HO$_{32}$,0.0,eV/atom,
Ca(GaO$_{2}$)$_{2}$,2.9772,eV/atom,
BN,4.4506,eV/atom,
CaV$_{2}$P$_{2}$O$_{9}$,1.5166000000000004,eV/atom,
RbNd$_{2}$I$_{5}$,0.0,eV/atom,
Dy$_{5}$Sn$_{11}$,0.0,eV/atom,
CdCuSb,0.0,eV/atom,
ThAl$_{2}$,0.0,eV/atom,
Ho(CoGe)$_{6}$,0.0,eV/atom,
