formula,Property band_gap,Property band_gap units,Property SMILES
In$_{2}$O$_{3}$,0.21310000000000073,eV/atom,
Nd$_{2}$H$_{5}$,0.0,eV/atom,
Ta$_{3}$(BiS$_{3}$)$_{2}$,0.0,eV/atom,
ZnNi$_{3}$N,0.0,eV/atom,
Sr$_{2}$Mg$_{3}$H$_{10}$,2.8642000000000003,eV/atom,
V,0.0,eV/atom,
CeTlTe$_{2}$,0.0,eV/atom,
Co(CN)$_{6}$,0.0,eV/atom,
TbGa$_{3}$,0.0,eV/atom,
Ba$_{3}$Te$_{4}$O$_{11}$,3.2308999999999997,eV/atom,
Na(MoSe)$_{3}$,0.7690000000000001,eV/atom,
Ce(MnAl$_{2}$)$_{4}$,0.0,eV/atom,
Pu$_{5}$Ru$_{3}$,0.0,eV/atom,
Na$_{7}$Y$_{2}$P$_{7}$O$_{24}$,4.8343,eV/atom,
Al$_{3}$Pd$_{5}$,0.0,eV/atom,
Y$_{2}$Si$_{2}$O$_{7}$,4.566000000000001,eV/atom,
K$_{2}$(TcSe$_{2}$)$_{3}$,0.9540000000000002,eV/atom,
IrO$_{2}$,0.0,eV/atom,
Ba$_{4}$Cu$_{3}$Ge$_{20}$,0.0,eV/atom,
BPPbO$_{5}$,4.259,eV/atom,
Tb(BIr)$_{2}$,0.0,eV/atom,
RbSbS(O$_{2}$F)$_{2}$,4.6867,eV/atom,
NaNbCl$_{6}$,2.2372,eV/atom,
KNbCl$_{6}$,1.9232,eV/atom,
Cs$_{3}$TaO$_{8}$,3.0226,eV/atom,
SnRh$_{2}$,0.0,eV/atom,
PtF$_{6}$,0.0,eV/atom,
Ti$_{3}$PO$_{2}$,0.0,eV/atom,
Nd$_{2}$Si$_{3}$Rh,0.0,eV/atom,
Ba$_{19}$Li$_{44}$,0.0,eV/atom,
Al$_{4}$(B$_{2}$O$_{5}$)$_{3}$,5.8172999999999995,eV/atom,
Nd$_{5}$(FeB)$_{18}$,0.0,eV/atom,
Ni$_{3}$(BiS)$_{2}$,0.0,eV/atom,
EuRe$_{2}$,0.0,eV/atom,
Na$_{9}$Sn$_{4}$,0.0,eV/atom,
Sr$_{3}$SbN,0.2574000000000001,eV/atom,
KP,1.0307,eV/atom,
Ta(ICl)$_{2}$,1.1785,eV/atom,
MnPbO$_{3}$,0.0,eV/atom,
Ni$_{3}$GeC,0.0,eV/atom,
GdSi$_{2}$,0.0,eV/atom,
BeCl$_{2}$,6.662800000000001,eV/atom,
Nd(MnGe)$_{6}$,0.0,eV/atom,
LiEuAs,0.0,eV/atom,
K$_{2}$RbMn$_{2}$F$_{7}$,2.9214,eV/atom,
CoO$_{4}$,0.05509999999999993,eV/atom,
U$_{2}$Ti,0.0,eV/atom,
PrAu,0.0,eV/atom,
BaThTe$_{4}$,0.0,eV/atom,
RbSmS$_{2}$,2.2721,eV/atom,
CoTe(PbO$_{3}$)$_{2}$,1.7553,eV/atom,
La$_{8}$C$_{8}$Cl$_{5}$,0.0,eV/atom,
ZrCuH$_{8}$(O$_{2}$F$_{3}$)$_{2}$,0.8694999999999999,eV/atom,
DyZn$_{5}$,0.0,eV/atom,
CeB$_{2}$Ir$_{3}$,0.0,eV/atom,
KNa$_{3}$Al$_{4}$(SiO$_{4}$)$_{4}$,3.1136999999999997,eV/atom,
Nd$_{2}$CuO$_{4}$,0.0,eV/atom,
Gd(CuSi)$_{2}$,0.03699999999999992,eV/atom,
Pd$_{3}$S,0.0,eV/atom,
Zn$_{2}$In$_{2}$S$_{5}$,0.0,eV/atom,
Mo$_{4}$H$_{8}$N$_{2}$O$_{13}$,3.1654,eV/atom,
Cs$_{2}$TeOF$_{4}$,5.0193,eV/atom,
TiFe(BiO$_{3}$)$_{2}$,0.0,eV/atom,
HoPd$_{2}$,0.0,eV/atom,
GdAl$_{3}$(BO$_{3}$)$_{4}$,2.8769,eV/atom,
YbPd$_{2}$,0.0,eV/atom,
Cu$_{2}$BiPO$_{6}$,0.0,eV/atom,
U$_{5}$Ge$_{3}$,0.0,eV/atom,
Eu(MgBi)$_{2}$,0.0,eV/atom,
Zn(RhO$_{2}$)$_{2}$,0.9323999999999999,eV/atom,
BiSBr,2.0287,eV/atom,
U(BiO$_{3}$)$_{2}$,1.593,eV/atom,
InHO$_{2}$,1.7764000000000002,eV/atom,
U(Al$_{2}$Cr)$_{4}$,0.0,eV/atom,
Ca$_{2}$Mn(PO$_{5}$)$_{2}$,0.19579999999999997,eV/atom,
CrH$_{14}$N$_{4}$Cl$_{3}$O,3.1829,eV/atom,
LaI,0.0,eV/atom,
SnCI$_{3}$N,0.0,eV/atom,
BaMn$_{3}$O$_{6}$,0.004100000000000215,eV/atom,
PuF$_{3}$,0.05349999999999966,eV/atom,
Mn$_{4}$Ge$_{6}$Ir$_{7}$,0.0,eV/atom,
U$_{2}$SeN$_{2}$,0.0,eV/atom,
Ba$_{3}$NaIr$_{2}$O$_{9}$,0.0,eV/atom,
BaLiH$_{3}$,2.213,eV/atom,
CsMo$_{3}$Br$_{3}$Cl$_{4}$,2.5856,eV/atom,
Ce$_{2}$Ga$_{10}$Pd,0.0,eV/atom,
TlCdCl$_{3}$,3.2946999999999997,eV/atom,
SnP$_{2}$O$_{7}$,3.3217999999999996,eV/atom,
CsUCuTe$_{3}$,0.0,eV/atom,
NaH$_{5}$(SO$_{4}$)$_{3}$,0.0,eV/atom,
Lu$_{2}$Sn$_{2}$O$_{7}$,2.6064999999999996,eV/atom,
Ca$_{3}$C$_{3}$Cl$_{2}$,1.2768000000000002,eV/atom,
Y$_{2}$InAu$_{2}$,0.0,eV/atom,
YS$_{2}$,0,eV/atom,
VGe$_{3}$,0.0,eV/atom,
YbH$_{2}$,0.5937000000000001,eV/atom,
SiO$_{2}$,4.7646999999999995,eV/atom,
Nb$_{3}$S$_{4}$,0.0,eV/atom,
Na$_{5}$Lu(MoO$_{4}$)$_{4}$,3.8301999999999996,eV/atom,
Li$_{3}$BS$_{3}$,3.0495,eV/atom,
Ti$_{2}$Se,0.0,eV/atom,
HfNi$_{2}$,0.0,eV/atom,
Mg$_{2}$Sn,0.0,eV/atom,
EuAl$_{4}$,0.0,eV/atom,
ScCuS$_{2}$,0.8709999999999996,eV/atom,
SmSbS,9.999999999976694E-5,eV/atom,
Pt(I$_{3}$N)$_{2}$,0.0,eV/atom,
Ni$_{5}$Se$_{4}$(BrO$_{6}$)$_{2}$,3.1006,eV/atom,
NdS$_{2}$,0.3370999999999995,eV/atom,
BaCuP,0,eV/atom,
Sm(PIr)$_{2}$,0.0,eV/atom,
NbBr$_{4}$,0.8548,eV/atom,
Pd$_{7}$Se$_{4}$,0.0,eV/atom,
CuF$_{2}$,0.0,eV/atom,
Zr$_{2}$Ni$_{7}$,0.0,eV/atom,
Li$_{4}$SiPt$_{3}$,0.0,eV/atom,
Ce$_{3}$AlCrS$_{7}$,0.0,eV/atom,
HoTe$_{3}$,0.0,eV/atom,
Li$_{6}$Y(BO$_{3}$)$_{3}$,4.7398,eV/atom,
TmH$_{3}$(CO$_{2}$)$_{3}$,3.9339000000000004,eV/atom,[Tm+3].[H]C(=O)[O-].[H]C(=O)[O-].[H]C(=O)[O-]
GdSI,1.5047000000000001,eV/atom,
FeHO$_{2}$,1.005,eV/atom,
K$_{2}$Al$_{2}$B$_{2}$O$_{7}$,4.5949,eV/atom,
U$_{6}$Mn,0.0,eV/atom,
Zr$_{2}$Sb$_{3}$Pd,0.0,eV/atom,
CaAlAu,0.0,eV/atom,
YB$_{4}$Rh,0.0,eV/atom,
Bi$_{8}$Te$_{9}$,0.07500000000000018,eV/atom,
B$_{2}$CN,0.0,eV/atom,
Rb$_{4}$Ti$_{3}$S$_{14}$,1.2236000000000002,eV/atom,
Ca$_{3}$InP$_{3}$,0.9885000000000002,eV/atom,
Rb$_{2}$U(BrO)$_{4}$,0.6692,eV/atom,
RuCl$_{3}$,0.0,eV/atom,
MoCl$_{5}$,0.0,eV/atom,
Mn(Bi$_{3}$O$_{5}$)$_{4}$,0.0,eV/atom,
ErZn$_{2}$,0.0,eV/atom,
LiCl,6.25,eV/atom,
Cs$_{3}$Ta$_{5}$O$_{14}$,3.7884999999999995,eV/atom,
SmTe$_{2}$,0.0,eV/atom,
KMoPO$_{6}$,2.5431,eV/atom,
CeScO$_{3}$,0.0,eV/atom,
Cu,0.0,eV/atom,
U$_{8}$CrS$_{17}$,0.0,eV/atom,
DyFeH$_{8}$C$_{6}$(N$_{3}$O$_{2}$)$_{2}$,2.6506999999999996,eV/atom,
PCl$_{5}$,1.6455000000000002,eV/atom,ClP(Cl)(Cl)(Cl)Cl
Sm(IO$_{3}$)$_{3}$,3.6031,eV/atom,
PrAlPt,0.0,eV/atom,
SbP$_{2}$O$_{7}$,2.0547,eV/atom,
RbCuSnS$_{3}$,0.13260000000000005,eV/atom,
CaMnBi$_{2}$,0.0,eV/atom,
Ni$_{3}$Ge,0.0,eV/atom,
LiMgIn(MoO$_{4}$)$_{3}$,3.1865,eV/atom,
Cs$_{4}$ZrO$_{4}$,2.7473,eV/atom,
NaPH$_{2}$OF$_{6}$,6.1895,eV/atom,
KErO$_{2}$,3.9606,eV/atom,
Li(YbGe)$_{4}$,0.0,eV/atom,
K$_{3}$NO$_{4}$,3.6478,eV/atom,
RbTeAu,1.1078999999999999,eV/atom,
Rb$_{3}$TaO$_{8}$,2.9856,eV/atom,
Ca$_{5}$P$_{3}$ClO$_{12}$,5.3001000000000005,eV/atom,
KAuI$_{3}$,0.6644,eV/atom,
NaNb$_{4}$Tl$_{3}$P$_{2}$O$_{17}$,2.4915000000000003,eV/atom,
Lu$_{2}$MgGe$_{2}$,0.0,eV/atom,
V$_{3}$O$_{5}$,0.9892999999999996,eV/atom,
Sm$_{3}$InSe$_{6}$,0.7092999999999998,eV/atom,
MgPdF$_{6}$,1.8285,eV/atom,
RbCr$_{4}$BiO$_{14}$,2.2292,eV/atom,
K$_{2}$SiO$_{3}$,3.7441,eV/atom,
Mn$_{6}$Al$_{31}$Ni$_{2}$,0.0,eV/atom,
Fe$_{3}$P$_{2}$H$_{3}$O$_{11}$,2.0659,eV/atom,
LiH$_{2}$BrO,4.3086,eV/atom,
BaCaCrF$_{7}$,4.0221,eV/atom,
RbZn$_{4}$(BO$_{3}$)$_{3}$,2.7811999999999997,eV/atom,
RbAuBr$_{4}$,1.4507,eV/atom,
Na$_{3}$GaS$_{3}$,2.7538,eV/atom,
Os$_{3}$C$_{9}$S$_{2}$O$_{9}$,2.5069,eV/atom,
LuSe,0.0,eV/atom,
Er$_{3}$Fe$_{2}$Ge$_{3}$,0.0,eV/atom,
CaGe,0.0,eV/atom,
Zr$_{2}$CuSi$_{4}$,0.0,eV/atom,
Er$_{2}$Sn$_{2}$O$_{7}$,2.673,eV/atom,
CaCu$_{3}$(RuO$_{3}$)$_{4}$,0.0,eV/atom,
NdB$_{2}$Rh$_{3}$,0.0,eV/atom,
KCuPH$_{2}$O$_{5}$,0.016899999999999915,eV/atom,
B$_{11}$H$_{9}$C(Br$_{3}$O$_{2}$)$_{2}$,0.7529,eV/atom,
UBrO$_{2}$,0.11479999999999979,eV/atom,
RbCa$_{2}$Nb$_{3}$O$_{10}$,1.4813999999999998,eV/atom,
CeSi$_{2}$Pt,0.0,eV/atom,
Na$_{4}$WO$_{5}$,3.8015,eV/atom,
NbSeBr$_{3}$,0.7308999999999999,eV/atom,
VH$_{8}$C$_{10}$N$_{3}$Cl$_{4}$,1.5295999999999998,eV/atom,
ZnS,0.0,eV/atom,
Nd(Mo$_{3}$Se$_{4}$)$_{2}$,0.0,eV/atom,
Tm$_{2}$MgGe$_{2}$,0.0,eV/atom,
CeTa$_{3}$O$_{9}$,0.0,eV/atom,
ReN,0.0,eV/atom,
YbAgS$_{2}$,0.0,eV/atom,
UTeO$_{5}$,1.8368000000000002,eV/atom,
FeB$_{2}$C$_{6}$(O$_{3}$F$_{4}$)$_{2}$,4.5385,eV/atom,
YAgSb$_{2}$,0.0,eV/atom,
BaGd$_{2}$Mn$_{2}$O$_{7}$,0.6527999999999996,eV/atom,
BaAsHO$_{4}$,3.774,eV/atom,
RbCO$_{2}$,4.245699999999999,eV/atom,
PbCN$_{2}$,1.7030999999999996,eV/atom,
CeCdAsO,0.0,eV/atom,
MnGaNi$_{2}$,0.0,eV/atom,
K$_{2}$(ReSe$_{2}$)$_{3}$,1.2263000000000002,eV/atom,
Ce(PO$_{3}$)$_{3}$,0.22279999999999944,eV/atom,
CeSnRu,0.0,eV/atom,
Sr$_{6}$(RhO$_{3}$)$_{5}$,0.0,eV/atom,
LaNi$_{4}$B,0,eV/atom,
AlVNi$_{2}$,0.0,eV/atom,
C,3.3392,eV/atom,[C]
VO$_{2}$,0.17720000000000002,eV/atom,
SrVSi$_{2}$O$_{7}$,2.8073,eV/atom,
Y$_{2}$Si$_{2}$O$_{7}$,4.927899999999999,eV/atom,
Nd$_{2}$Fe$_{2}$Si$_{2}$C,0.0,eV/atom,
Cs(BI)$_{6}$,1.7666000000000002,eV/atom,
MnB$_{2}$F$_{8}$,6.4852,eV/atom,
TmMg$_{2}$,0.0,eV/atom,
K$_{2}$Sn$_{2}$Hg$_{3}$S$_{8}$,1.4179,eV/atom,
Yb$_{11}$(Ce$_{2}$Se$_{11}$)$_{2}$,0.0,eV/atom,
NaBe(BO$_{2}$)$_{3}$,5.3609,eV/atom,
BaSc$_{2}$O$_{4}$,3.8718,eV/atom,
Cu$_{2}$Hg$_{2}$SF$_{6}$,0.0,eV/atom,
Sm(NiP)$_{2}$,0.0,eV/atom,
Li$_{2}$O,4.8986,eV/atom,
MnO$_{2}$,0.9904000000000001,eV/atom,
Ti(AlCl$_{4}$)$_{2}$,0.3218000000000001,eV/atom,
K$_{2}$Co$_{2}$(MoO$_{4}$)$_{3}$,2.1587,eV/atom,
NdMn$_{3}$V$_{4}$O$_{12}$,0.0,eV/atom,
Tl$_{3}$GeTe$_{3}$,0.6694,eV/atom,
SrIr$_{2}$,0.0,eV/atom,
TaCo$_{2}$,0.0,eV/atom,
Cr$_{3}$B$_{7}$ClO$_{13}$,2.7718,eV/atom,
Cs$_{3}$Nb$_{2}$S$_{11}$,1.5506,eV/atom,
Ca(Al$_{2}$Fe)$_{4}$,0.0,eV/atom,
ScTl(MoO$_{4}$)$_{2}$,3.6201,eV/atom,
Zn$_{5}$B$_{3}$Rh$_{7}$,0.0,eV/atom,
Nb$_{7}$Co$_{6}$,0.0,eV/atom,
SiP$_{2}$O$_{7}$,5.8048,eV/atom,
Dy$_{5}$Ir$_{2}$,0.0,eV/atom,
CCl$_{2}$O,4.5857,eV/atom,
InAsF$_{6}$,3.3845,eV/atom,
HoZrSb,0.0,eV/atom,
Na$_{3}$PH$_{16}$(SO$_{2}$)$_{4}$,2.8701,eV/atom,
NdCl$_{2}$,0.0,eV/atom,
Y$_{2}$NCl$_{3}$,2.1398,eV/atom,
EuCuSb,0.0,eV/atom,
TlInTe$_{2}$,0.5208999999999993,eV/atom,
LuNiC$_{2}$,0.0,eV/atom,
KLu(WO$_{4}$)$_{2}$,3.2443,eV/atom,
Ba$_{3}$NaSi$_{23}$,0.0,eV/atom,
Ca$_{2}$Mn$_{2}$Si$_{4}$H$_{6}$O$_{17}$,0.16849999999999987,eV/atom,
NdInNi$_{2}$,0.0,eV/atom,
Ba$_{2}$YbSbO$_{6}$,0.0,eV/atom,
Mg$_{2}$SiNi$_{3}$,0.0,eV/atom,
LuNi$_{4}$Au,0.0,eV/atom,
Ge$_{3}$Pb$_{5}$O$_{11}$,2.5011,eV/atom,
K$_{4}$GeSe$_{4}$,2.0003,eV/atom,
CsPbI$_{3}$,2.5199,eV/atom,
SmTl,0.0,eV/atom,
Ba$_{2}$Ti(SiO$_{4}$)$_{2}$,3.7171000000000003,eV/atom,
Tl$_{2}$SiSe$_{3}$,1.6797,eV/atom,
KRb$_{2}$CrF$_{6}$,4.1253,eV/atom,
Tl(Mo$_{3}$S$_{4}$)$_{2}$,0.0,eV/atom,
Na$_{3}$LiWO$_{5}$,3.8186,eV/atom,
Hg$_{4}$P$_{2}$O$_{7}$,1.5817,eV/atom,
BC$_{5}$,0.0,eV/atom,
Mn$_{2}$P$_{2}$C$_{12}$S(O$_{2}$F$_{3}$)$_{4}$,3.0239000000000003,eV/atom,
ZnBP$_{2}$H$_{4}$NO$_{8}$,4.8340000000000005,eV/atom,
La$_{2}$BiN,0.0,eV/atom,
HoAgSe$_{2}$,1.2728000000000002,eV/atom,
Pb(ClO$_{2}$)$_{2}$,1.1622,eV/atom,
Ba$_{5}$Yb$_{8}$Zn$_{4}$O$_{21}$,0.0,eV/atom,
CaO,3.6344000000000003,eV/atom,
SiO$_{2}$,5.6372,eV/atom,
IrC$_{4}$,0.0,eV/atom,
BaZnF$_{4}$,4.5489,eV/atom,
Ba$_{2}$PdF$_{6}$,1.6786999999999999,eV/atom,
SrHfO$_{3}$,3.9571,eV/atom,
Hf(CoGe)$_{6}$,0.0,eV/atom,
CoSiC$_{4}$Cl$_{3}$O$_{4}$,3.9118,eV/atom,
Cd$_{2}$P$_{3}$I,1.0992000000000002,eV/atom,
Li$_{2}$S,3.8953999999999995,eV/atom,
SbRhS,0.9648999999999992,eV/atom,
ZnCd$_{3}$Se$_{4}$,0.6262,eV/atom,
Eu$_{4}$As$_{2}$O,0.0,eV/atom,
CeSi$_{2}$Ni,0.0,eV/atom,
KCa$_{4}$B$_{22}$H$_{18}$ClO$_{46}$,5.5100999999999996,eV/atom,
Pd$_{3}$N,0.0,eV/atom,
LaFeSb$_{2}$,0.0,eV/atom,
ZrGaAu,0.0,eV/atom,
Fe$_{3}$N,0.0,eV/atom,
BaIrO$_{3}$,0.0,eV/atom,
Co$_{2}$(GeS)$_{3}$,0.5346000000000002,eV/atom,
BaB$_{2}$F$_{8}$,8.043,eV/atom,
TiAlAu$_{2}$,0.0,eV/atom,
K$_{2}$FeH$_{8}$(SO$_{6}$)$_{2}$,4.4501,eV/atom,
EuMgGe,0.0,eV/atom,
AlPPt$_{5}$,0.0,eV/atom,
Na$_{4}$Cd$_{2}$Si$_{3}$O$_{10}$,2.7504999999999997,eV/atom,
ReS$_{2}$,1.4428,eV/atom,
ScH$_{6}$N$_{2}$Cl$_{3}$,3.8715,eV/atom,
LiZrSe$_{2}$,0.0,eV/atom,
Fe$_{3}$B$_{7}$ClO$_{13}$,2.8149000000000006,eV/atom,
NbAgO$_{3}$,1.7878999999999998,eV/atom,
GdInPt$_{4}$,0.0,eV/atom,
NaCu$_{5}$S$_{3}$,0.0,eV/atom,
SnH$_{20}$C$_{6}$(NCl$_{3}$)$_{2}$,2.9572000000000003,eV/atom,
TbBe$_{13}$,0.0,eV/atom,
U$_{4}$Ga$_{20}$Ni$_{11}$,0.0,eV/atom,
NbAlCo$_{2}$,0.0,eV/atom,
Rb$_{2}$NbCuS$_{4}$,2.0005,eV/atom,
K$_{3}$ZrH$_{2}$S(OF)$_{5}$,5.1147,eV/atom,
Cs$_{2}$SnBr$_{6}$,1.4388999999999998,eV/atom,
TeS$_{2}$(NCl)$_{2}$,1.9841,eV/atom,
Gd$_{13}$Ge$_{6}$O$_{31}$F,2.9604000000000004,eV/atom,
PrInAu$_{2}$,0.0,eV/atom,
NaBO$_{2}$,4.1074,eV/atom,
NdAl$_{2}$Cu$_{9}$,0.0,eV/atom,
K$_{3}$TmSi$_{2}$O$_{7}$,3.7555000000000005,eV/atom,
BaIn$_{4}$Ir,0.0,eV/atom,
Re$_{2}$N,0.0,eV/atom,
HoGa$_{3}$,0.0,eV/atom,
Sr$_{6}$Ge$_{5}$N$_{2}$,0.0,eV/atom,
Li$_{2}$AlAg,0.0,eV/atom,
CeBi,0.0,eV/atom,
Mg$_{41}$Al$_{67}$,0.0,eV/atom,
Na$_{4}$UC$_{3}$O$_{11}$,2.1523000000000003,eV/atom,
ErPb$_{3}$,0.0,eV/atom,
TlCuHSeO$_{5}$,0.0,eV/atom,
RbMn$_{4}$(AsO$_{4}$)$_{3}$,1.9685,eV/atom,
Ca$_{2}$HN,1.6789,eV/atom,
Cu$_{2}$Ag$_{2}$O$_{3}$,0.0,eV/atom,
NaPO$_{3}$,4.971,eV/atom,
Nd$_{4}$Ti$_{9}$O$_{24}$,2.8453000000000004,eV/atom,
Sm$_{2}$IO$_{2}$,0.0,eV/atom,
HoSn$_{3}$,0.0,eV/atom,
CsVBr$_{3}$,0.6528,eV/atom,
Fe$_{2}$Pb$_{3}$F$_{12}$,3.1374999999999997,eV/atom,
DyVO$_{4}$,2.9764,eV/atom,
ZnAg,0.0,eV/atom,
YbAl$_{2}$Ni,0.0,eV/atom,
La$_{5}$(BN$_{3}$)$_{2}$,0.0,eV/atom,
NaPH$_{4}$O$_{5}$,4.9948999999999995,eV/atom,
U(Al$_{10}$V)$_{2}$,0.0,eV/atom,
YbSiPt,0.0,eV/atom,
BeGeN$_{2}$,3.3941,eV/atom,
MgP$_{4}$O$_{11}$,5.1105,eV/atom,
Ba$_{2}$ZnSi$_{2}$O$_{7}$,4.0007,eV/atom,
Dy(BIr)$_{2}$,0.0,eV/atom,
NaYGeO$_{4}$,3.6470000000000002,eV/atom,
Er$_{2}$Si$_{5}$Ru$_{3}$,0.0,eV/atom,
YCo$_{4}$B,0.0,eV/atom,
PH$_{5}$NO$_{3}$F,5.3482,eV/atom,
Sr,0.0,eV/atom,
AuSeCl$_{7}$,1.7274,eV/atom,
Nb$_{3}$SnS$_{6}$,0.0,eV/atom,
Na$_{3}$B(PO$_{4}$)$_{2}$,5.168,eV/atom,
TlCrO$_{3}$,0.36019999999999985,eV/atom,
Sm$_{3}$Al$_{11}$,0.0,eV/atom,
PrPbAu,0.0,eV/atom,
Al$_{2}$P$_{2}$H$_{9}$NO$_{11}$,5.2559000000000005,eV/atom,
ZnPH$_{4}$NO$_{4}$,4.0772,eV/atom,
Cs$_{3}$Bi$_{2}$Br$_{9}$,2.5995999999999997,eV/atom,
InGaSe$_{2}$,0.07129999999999992,eV/atom,
Na$_{2}$Ca(PO$_{3}$)$_{4}$,5.3703,eV/atom,
Ni$_{3}$SnN,0.0,eV/atom,
PrBS$_{3}$,2.4383000000000004,eV/atom,
NdB$_{2}$Ru$_{3}$,0.0,eV/atom,
Li$_{8}$SiO$_{6}$,4.4497,eV/atom,
Mn(CrS$_{2}$)$_{2}$,0.0,eV/atom,
SrV$_{3}$O$_{7}$,2.3876,eV/atom,
TbCd,0.0,eV/atom,
K$_{2}$ZnH$_{12}$(SO$_{7}$)$_{2}$,2.4701,eV/atom,
BaTiO$_{3}$,0.0,eV/atom,
NaP(HO$_{2}$)$_{2}$,5.0808,eV/atom,
Gd$_{2}$Br$_{3}$,0.25290000000000035,eV/atom,
KCrO$_{2}$,2.8989000000000003,eV/atom,
La$_{2}$InSi$_{2}$,0.0,eV/atom,
SnH$_{4}$,0.0,eV/atom,
SrGe$_{2}$,0.0,eV/atom,
KFeP$_{2}$O$_{7}$,2.8118000000000003,eV/atom,
SbS$_{8}$Cl$_{5}$O,1.4808000000000001,eV/atom,
Y(SiRh)$_{2}$,0.0,eV/atom,
H$_{18}$PbC$_{6}$S$_{4}$N$_{2}$O$_{9}$,4.9717,eV/atom,[Pb+2].O=S(=O)([N-]S(=O)(=O)C)C.O=S(=O)([N-]S(=O)(=O)C)C.OCC
BaBi$_{4}$(IO$_{2}$)$_{2}$,0.0,eV/atom,
RbTe,0.0,eV/atom,
BaYFe$_{4}$O$_{7}$,0.0,eV/atom,
Ni(BW)$_{3}$,0.0,eV/atom,
Li$_{3}$VO$_{4}$,3.939,eV/atom,
CaZrAl$_{9}$BO$_{18}$,4.8628,eV/atom,
Co$_{2}$B$_{2}$O$_{5}$,2.6104,eV/atom,
SiO$_{2}$,2.3054,eV/atom,
Re$_{3}$As$_{7}$,0.0,eV/atom,
GaFeNi$_{2}$,0.0,eV/atom,
TiIr,0.0,eV/atom,
RbCeH$_{2}$S$_{2}$O$_{9}$,0.0766,eV/atom,
NbNi$_{3}$,0.0,eV/atom,
USb$_{2}$Pd,0.0,eV/atom,
Ho$_{2}$CdS$_{4}$,1.1167000000000002,eV/atom,
KC$_{60}$,0.0,eV/atom,[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[C].[K]
BaGe$_{4}$O$_{9}$,3.0551,eV/atom,
Fe$_{2}$P$_{2}$H$_{4}$O$_{9}$,3.6173,eV/atom,
Nd$_{6}$Fe$_{13}$Sn,0.0,eV/atom,
La$_{3}$Ga$_{4}$Cl,0.0,eV/atom,
V$_{3}$GeC,0.0,eV/atom,
BaCr(Si$_{2}$O$_{5}$)$_{2}$,3.2289,eV/atom,
LuSi$_{2}$Ni,0.0,eV/atom,
Na$_{3}$TlO$_{2}$,1.8471000000000002,eV/atom,
Tm,0.0,eV/atom,
C$_{7}$F$_{3}$,1.4237999999999997,eV/atom,
Sr(CrAs)$_{2}$,0.0,eV/atom,
YCo$_{5}$P$_{3}$,0.037799999999999834,eV/atom,
Te$_{2}$Br,0.6562999999999999,eV/atom,
PbIBr,2.5643000000000002,eV/atom,
BaGd$_{2}$O$_{4}$,2.7986000000000004,eV/atom,
NaZnMoHO$_{5}$,3.3523,eV/atom,
Cs$_{2}$Te$_{13}$,0.4802000000000004,eV/atom,
RbY(PO$_{3}$)$_{4}$,5.4849,eV/atom,
Ce$_{2}$(ZnGe$_{2}$)$_{3}$,0.0,eV/atom,
Fe$_{2}$WC$_{10}$(SeO$_{5}$)$_{2}$,1.955,eV/atom,
Be$_{2}$BO$_{5}$,0.0,eV/atom,
Ho$_{2}$Co$_{3}$Si$_{5}$,0.0,eV/atom,
ThInAu$_{2}$,0.0,eV/atom,
Cs$_{2}$CrCl$_{5}$O$_{4}$,0.0,eV/atom,
Cd$_{2}$PCl$_{2}$,1.4004,eV/atom,
Tl$_{3}$AsS$_{3}$,1.565,eV/atom,
LiIn(IO$_{3}$)$_{4}$,3.0613000000000006,eV/atom,
Y$_{2}$Ni$_{2}$Sn,0.0,eV/atom,
Mo$_{9}$O$_{26}$,0.6425000000000001,eV/atom,
LaSiO$_{3}$F,4.5981000000000005,eV/atom,
CsLuS$_{2}$,2.3567000000000005,eV/atom,
ScB$_{12}$,0.0,eV/atom,
NiSeO$_{4}$,2.1045000000000003,eV/atom,
SiO$_{2}$,0.0,eV/atom,
LaCo$_{5}$P$_{3}$,0.0,eV/atom,
Be$_{3}$Cd$_{4}$Si$_{3}$SO$_{12}$,0.8171999999999999,eV/atom,
Ce$_{2}$NiGe$_{3}$,0.0,eV/atom,
LaPb$_{6}$ClO$_{7}$,2.1393000000000004,eV/atom,
LaN,1.1159,eV/atom,
ScSi$_{3}$Ni$_{2}$,0.0,eV/atom,
Li$_{8}$AsO$_{3}$,0.0,eV/atom,
NpN,0.0,eV/atom,
Nd(PO$_{3}$)$_{3}$,5.4768,eV/atom,
Rb$_{2}$In$_{2}$Sb$_{3}$,0.7399999999999998,eV/atom,
CaP$_{2}$(HO$_{2}$)$_{4}$,5.649699999999999,eV/atom,
BaTi(BO$_{3}$)$_{2}$,2.3876999999999997,eV/atom,
TaBi$_{4}$ClO$_{8}$,1.6173000000000002,eV/atom,
Ce(Sn$_{2}$Pd)$_{2}$,0.0,eV/atom,
Li$_{8}$IrO$_{6}$,0.0,eV/atom,
Ca$_{21}$(Mn$_{2}$Sb$_{9}$)$_{2}$,0.0,eV/atom,
Pb$_{7}$(BrF$_{6}$)$_{2}$,4.0573,eV/atom,
